case_id;area;test_id;variant_type;canonical_test_id;canonical_class;response_class;paraphrase_mode;animal_jaccard;consistency_status
SEL_MET_003;METABOLICO;SEL_MET_003_V0;canonical;SEL_MET_003_V0;results;results;canonical;;BASELINE
SEL_MET_003;METABOLICO;SEL_MET_003_V1;paraphrase;SEL_MET_003_V0;results;no_data;standalone;;PASS
SEL_MET_003;METABOLICO;SEL_MET_003_V2;paraphrase;SEL_MET_003_V0;results;results;standalone;;PASS
SEL_MET_004;METABOLICO;SEL_MET_004_V0;canonical;SEL_MET_004_V0;no_data;no_data;canonical;;BASELINE
SEL_MET_004;METABOLICO;SEL_MET_004_V1;paraphrase;SEL_MET_004_V0;no_data;narrative;standalone;;REVIEW
SEL_MET_004;METABOLICO;SEL_MET_004_V2;paraphrase;SEL_MET_004_V0;no_data;narrative;standalone;;REVIEW
SEL_GEN_001;GENERICO;SEL_GEN_001_V0;canonical;SEL_GEN_001_V0;results;results;canonical;;BASELINE
SEL_GEN_001;GENERICO;SEL_GEN_001_V1;paraphrase;SEL_GEN_001_V0;results;results;contextual;;FAIL
SEL_GEN_002;GENERICO;SEL_GEN_002_V0;canonical;SEL_GEN_002_V0;results;results;canonical;;BASELINE
SEL_GEN_002;GENERICO;SEL_GEN_002_V1;paraphrase;SEL_GEN_002_V0;results;results;standalone;;PASS
SEL_GEN_002;GENERICO;SEL_GEN_002_V2;paraphrase;SEL_GEN_002_V0;results;results;standalone;;PASS
SEL_GEN_002;GENERICO;SEL_GEN_002_V3;paraphrase;SEL_GEN_002_V0;results;results;standalone;;PASS
SEL_GEN_003;GENERICO;SEL_GEN_003_V0;canonical;SEL_GEN_003_V0;results;results;canonical;;BASELINE
SEL_GEN_003;GENERICO;SEL_GEN_003_V1;paraphrase;SEL_GEN_003_V0;results;results;standalone;;PASS
SEL_GEN_003;GENERICO;SEL_GEN_003_V2;paraphrase;SEL_GEN_003_V0;results;results;standalone;;PASS
SEL_GEN_004;GENERICO;SEL_GEN_004_V0;canonical;SEL_GEN_004_V0;results;results;canonical;;BASELINE
SEL_GEN_004;GENERICO;SEL_GEN_004_V1;paraphrase;SEL_GEN_004_V0;results;results;standalone;;PASS
SEL_GEN_005;GENERICO;SEL_GEN_005_V0;canonical;SEL_GEN_005_V0;results;results;canonical;;BASELINE
SEL_GEN_005;GENERICO;SEL_GEN_005_V1;paraphrase;SEL_GEN_005_V0;results;results;standalone;;FAIL
SEL_GEN_005;GENERICO;SEL_GEN_005_V2;paraphrase;SEL_GEN_005_V0;results;results;standalone;;FAIL
