test_id;case_id;area;area_order;case_order;execution_order;suite_type;scenario;scenario_turn;block;variant_index;variant_type;variant_source;previously_executed;prior_validated;prior_result;source_case_id;source_mapping;question;evaluation_profile;expected_scope;expected_animal;input_data;expected_behavior;expected_fields;fallback;guardrail;support_current;manual_current_response;manual_comment;probe_type
SEL_MUNG_002_V1;SEL_MUNG_002;MUNGITURA;1;2;11;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_002;1;paraphrase;package_variant;False;False;;MUNG_003;adapted;chi ha ridotto le mungiture?;missed_or_reduced_milkings;herd;;ID, DIM, media milk sessions gruppo, numero sessioni di mungitura;Gli animali con un numero minore di sessioni registrate sono i seguenti:  . (se robot: controlla il loro stato di salute o il funzionamento del robot);Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Nessuna vacca ha registrato milking_visits_count = 0 negli ultimi 7 giorni (la query ha restituito 0 righe). Nella stalla non sono presenti bufale, quindi il conteggio è 0 vacche e 0 bufale.

Se vuoi approfondire un periodo più lungo o verificare eventuali decrementi nelle sessioni di mungitura, fammi sapere.";;paraphrase_probe
SEL_MUNG_003_V1;SEL_MUNG_003;MUNGITURA;1;3;12;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_003;1;paraphrase;package_variant;False;False;;MUNG_001;exact;Chi è in ritardo?;milking_delay_list;herd;;ID, gruppo,  DIM,  ultima sessione registrata, ultima produzione, numero di sessioni nelle ultime 24h;Gli animali con maggiore ritardo tra le mungiture sono i seguenti:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore da ultima mungitura | Soglia attesa | Produzione media 7g | Note dati;Manca ultima mungitura, stato attivo/in lattazione o soglia/intervallo atteso.;"Non associare ritardo a malattia senza altri segnali. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_004_V1;SEL_MUNG_004;MUNGITURA;1;4;13;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_004;1;paraphrase;package_variant;False;False;;MUNG_003;exact;chi ha ridotto le mungiture?;low_milking_count;herd;;ID, gruppo, DIM, numero sessioni ultime 24h, media baseline mungiture;"Ho trovato {n_animali} animali con meno mungiture rispetto al loro andamento recente.
{tabella}
Verifica accesso a robot/sala, locomozione, comportamento e rifiuti robot.";Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_005_V1;SEL_MUNG_005;MUNGITURA;1;5;14;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_005;1;paraphrase;package_variant;False;False;;MUNG_002;exact;Chi non ha mungiture oggi?;not_milked_today;herd;;ID, gruppo, DIM, visite robot ultime 24h, nr sessioni mungitura valide, n mungiture baseline;Ecco gli animali che non hanno registrato una mungitura completa:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore trascorse | Mungiture oggi | Visite robot oggi;Manca il conteggio mungiture giornaliero o il timestamp dei dati robot.;"Usare 'non risulta registrata' se c'è rischio dato non aggiornato. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_006_V1;SEL_MUNG_006;MUNGITURA;1;6;15;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_006;1;paraphrase;package_variant;False;False;;MUNG_010;exact;quali hanno conducibilità alta ora?;conductivity_list;herd;;ID, nr lattazione, DIM, gruppo, ultima conducibilità, media conducibilità gruppo, incremento conducibilità baseline;ecco gli animali con elevati valori di conducibilità:;Animale | DIM | Gruppo | Ultima mungitura | Conducibilità | Baseline/flag | Latte ultima | SCC score | Delta latte;Manca conducibilità aggiornata o baseline/flag aziendale.;"Non formulare diagnosi certa e non prescrivere terapie; usare 'segnale compatibile/da verificare'. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_007_V1;SEL_MUNG_007;MUNGITURA;1;7;16;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_007;1;paraphrase;custom_variant;False;False;;MUNG_012;adapted;quali primipare fanno poche visite al robot?;primiparous_low_robot;herd;;ID, DIM, gruppo, nr visite ultime 24h, tempo dall'ultima visita, tempo di intervallo atteso;Ecco la lista completa delle primipare con poche visite volontarie:;Animale | DIM | Parità | Gruppo | Mungiture 24h | Visite robot | Ultima mungitura | Latte 24h;Manca DIM o dati robot.;Non parlare di chetosi/patologia senza segnali metabolici/produttivi aggiuntivi.;Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_008_V1;SEL_MUNG_008;MUNGITURA;1;8;17;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_008;1;paraphrase;package_variant;False;False;;PROD_001;exact_cross_area;quali vacche sono calate?;production_drop_list;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione, delta produzione;Gli animali con il maggiore calo individuale sono i seguenti:;Animale | DIM | Parità | Gruppo | Latte attuale | Baseline/media | Delta kg | Delta % | Segnali associati;Manca produzione aggiornata o baseline/media recente.;Non indicare causa certa del calo se non ci sono segnali concordanti.;Supportato se produzione e baseline presenti;;;paraphrase_probe
SEL_MUNG_009_V1;SEL_MUNG_009;MUNGITURA;1;9;18;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_009;1;paraphrase;package_variant;False;False;;PROD_002;exact_cross_area;chi ha perso più di 5 kg?;production_drop_threshold;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione;"Animali con calo superiore a {X} kg:
{tabella}
La tabella è ordinata per scostamento produttivo, non per priorità.";Animale | DIM | Gruppo | Latte attuale | Baseline | Calo kg | Calo % | Note;Manca produzione, baseline o soglia interpretabile.;"Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se produzione e baseline presenti;;;paraphrase_probe
SEL_MUNG_001_V2;SEL_MUNG_001;MUNGITURA;1;1;19;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_001;2;paraphrase;package_variant;False;False;;MUNG_007;adapted;quali ultime mungiture sono basse?;low_milking_yield_list;herd;;lista animali, produzione baseline, produzione attesa, media mandria, media gruppo, animal ID, gruppo, DIM;"L'ultima sessione di mungitura ha registrato ""#n animali"" con una bassa produzione. Ecco i peggiori: ";Animale | DIM | Gruppo | Ultima mungitura | Latte ultima mungitura | Atteso | Differenza | Intervallo mungitura;Mancano produzione ultima mungitura o baseline attesa.;"Non usare produzione per mungitura isolata come segnale clinico. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Dati: 27 agosto 2026 – 40 vacche hanno registrato una produzione inferiore al ‑20 % della curva attesa.

Spiegazione: il conteggio (cnt = 40) proviene dal report del giorno più recente (max_date = 2026‑08‑27). L’allevamento non include bufale, quindi il totale riguarda solo vacche.

Azioni consigliate: verifica rapidamente le prime 10 vacche con più scostamento, controlla conducibilità e SCS, preleva campioni di latte e avvia eventuali cure preventive.

Se vuoi approfondisco singole vacche.";;paraphrase_probe
SEL_MUNG_002_V2;SEL_MUNG_002;MUNGITURA;1;2;20;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_002;2;paraphrase;package_variant;False;False;;MUNG_003;adapted;animali con meno passaggi al robot;missed_or_reduced_milkings;herd;;ID, DIM, media milk sessions gruppo, numero sessioni di mungitura;Gli animali con un numero minore di sessioni registrate sono i seguenti:  . (se robot: controlla il loro stato di salute o il funzionamento del robot);Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Nessuna vacca ha registrato milking_visits_count = 0 negli ultimi 7 giorni (la query ha restituito 0 righe). Nella stalla non sono presenti bufale, quindi il conteggio è 0 vacche e 0 bufale.

Se vuoi approfondire un periodo più lungo o verificare eventuali decrementi nelle sessioni di mungitura, fammi sapere.";;paraphrase_probe
SEL_MUNG_003_V2;SEL_MUNG_003;MUNGITURA;1;3;21;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_003;2;paraphrase;package_variant;False;False;;MUNG_001;exact;fammi vedere chi non è passato al robot;milking_delay_list;herd;;ID, gruppo,  DIM,  ultima sessione registrata, ultima produzione, numero di sessioni nelle ultime 24h;Gli animali con maggiore ritardo tra le mungiture sono i seguenti:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore da ultima mungitura | Soglia attesa | Produzione media 7g | Note dati;Manca ultima mungitura, stato attivo/in lattazione o soglia/intervallo atteso.;"Non associare ritardo a malattia senza altri segnali. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_004_V2;SEL_MUNG_004;MUNGITURA;1;4;22;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_004;2;paraphrase;package_variant;False;False;;MUNG_003;exact;animali con meno passaggi al robot;low_milking_count;herd;;ID, gruppo, DIM, numero sessioni ultime 24h, media baseline mungiture;"Ho trovato {n_animali} animali con meno mungiture rispetto al loro andamento recente.
{tabella}
Verifica accesso a robot/sala, locomozione, comportamento e rifiuti robot.";Animale | DIM | Parità | Gruppo | Mungiture 24h | Baseline mungiture | Differenza | Ultima mungitura | Note;Manca baseline individuale delle mungiture o conteggio ultime 24h.;"Non diagnosticare zoppia o malattia solo da riduzione mungiture. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_005_V2;SEL_MUNG_005;MUNGITURA;1;5;23;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_005;2;paraphrase;package_variant;False;False;;MUNG_002;exact;chi non è passato oggi?;not_milked_today;herd;;ID, gruppo, DIM, visite robot ultime 24h, nr sessioni mungitura valide, n mungiture baseline;Ecco gli animali che non hanno registrato una mungitura completa:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore trascorse | Mungiture oggi | Visite robot oggi;Manca il conteggio mungiture giornaliero o il timestamp dei dati robot.;"Usare 'non risulta registrata' se c'è rischio dato non aggiornato. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_007_V2;SEL_MUNG_007;MUNGITURA;1;7;24;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_007;2;paraphrase;custom_variant;False;False;;MUNG_012;adapted;quali vacche in prima lattazione vanno poco al robot?;primiparous_low_robot;herd;;ID, DIM, gruppo, nr visite ultime 24h, tempo dall'ultima visita, tempo di intervallo atteso;Ecco la lista completa delle primipare con poche visite volontarie:;Animale | DIM | Parità | Gruppo | Mungiture 24h | Visite robot | Ultima mungitura | Latte 24h;Manca DIM o dati robot.;Non parlare di chetosi/patologia senza segnali metabolici/produttivi aggiuntivi.;Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_008_V2;SEL_MUNG_008;MUNGITURA;1;8;25;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_008;2;paraphrase;package_variant;False;False;;PROD_001;exact_cross_area;lista cali produzione;production_drop_list;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione, delta produzione;Gli animali con il maggiore calo individuale sono i seguenti:;Animale | DIM | Parità | Gruppo | Latte attuale | Baseline/media | Delta kg | Delta % | Segnali associati;Manca produzione aggiornata o baseline/media recente.;Non indicare causa certa del calo se non ci sono segnali concordanti.;Supportato se produzione e baseline presenti;;;paraphrase_probe
SEL_MUNG_009_V2;SEL_MUNG_009;MUNGITURA;1;9;26;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_009;2;paraphrase;package_variant;False;False;;PROD_002;exact_cross_area;cali oltre 5 kg;production_drop_threshold;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione;"Animali con calo superiore a {X} kg:
{tabella}
La tabella è ordinata per scostamento produttivo, non per priorità.";Animale | DIM | Gruppo | Latte attuale | Baseline | Calo kg | Calo % | Note;Manca produzione, baseline o soglia interpretabile.;"Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se produzione e baseline presenti;;;paraphrase_probe
SEL_MUNG_001_V3;SEL_MUNG_001;MUNGITURA;1;1;27;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_001;3;paraphrase;package_variant;False;False;;MUNG_007;adapted;chi ha dato poco latte ora?;low_milking_yield_list;herd;;lista animali, produzione baseline, produzione attesa, media mandria, media gruppo, animal ID, gruppo, DIM;"L'ultima sessione di mungitura ha registrato ""#n animali"" con una bassa produzione. Ecco i peggiori: ";Animale | DIM | Gruppo | Ultima mungitura | Latte ultima mungitura | Atteso | Differenza | Intervallo mungitura;Mancano produzione ultima mungitura o baseline attesa.;"Non usare produzione per mungitura isolata come segnale clinico. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;"Dati: 27 agosto 2026 – 40 vacche hanno registrato una produzione inferiore al ‑20 % della curva attesa.

Spiegazione: il conteggio (cnt = 40) proviene dal report del giorno più recente (max_date = 2026‑08‑27). L’allevamento non include bufale, quindi il totale riguarda solo vacche.

Azioni consigliate: verifica rapidamente le prime 10 vacche con più scostamento, controlla conducibilità e SCS, preleva campioni di latte e avvia eventuali cure preventive.

Se vuoi approfondisco singole vacche.";;paraphrase_probe
SEL_MUNG_003_V3;SEL_MUNG_003;MUNGITURA;1;3;28;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_003;3;paraphrase;package_variant;False;False;;MUNG_001;exact;quali bufale sono indietro con la mungitura?;milking_delay_list;herd;;ID, gruppo,  DIM,  ultima sessione registrata, ultima produzione, numero di sessioni nelle ultime 24h;Gli animali con maggiore ritardo tra le mungiture sono i seguenti:;Animale | DIM | Parità | Gruppo | Ultima mungitura | Ore da ultima mungitura | Soglia attesa | Produzione media 7g | Note dati;Manca ultima mungitura, stato attivo/in lattazione o soglia/intervallo atteso.;"Non associare ritardo a malattia senza altri segnali. Non usare priorità alta/media/bassa o score non implementati; ordinare solo per metrica disponibile.";Supportato se dati robot presenti;;;paraphrase_probe
SEL_MUNG_008_V3;SEL_MUNG_008;MUNGITURA;1;8;29;functional;FUNCTIONAL_MUNGITURA;;SEL_MUNG_008;3;paraphrase;package_variant;False;False;;PROD_001;exact_cross_area;chi sta perdendo latte?;production_drop_list;herd;;ID, gruppo, lattazione, DIM, baseline individuale (media n giorni), ultima produzione produzione, delta produzione;Gli animali con il maggiore calo individuale sono i seguenti:;Animale | DIM | Parità | Gruppo | Latte attuale | Baseline/media | Delta kg | Delta % | Segnali associati;Manca produzione aggiornata o baseline/media recente.;Non indicare causa certa del calo se non ci sono segnali concordanti.;Supportato se produzione e baseline presenti;;;paraphrase_probe
SEL_PROD_001_V0;SEL_PROD_001;PRODUZIONE;2;1;30;functional;FUNCTIONAL_PRODUZIONE;;SEL_PROD_001;0;canonical;manual_selected;False;False;;PROD_006;exact;chi produce meno?;low_vs_group;herd;;ID, gruppo,DIM, ultima produzione, media gruppo, delta produzione;"Animali sotto la media del proprio gruppo:
{tabella}
Questo confronto è più utile se il gruppo è omogeneo per DIM/parità.";Animale | DIM | Parità | Gruppo | Latte attuale | Media gruppo | Delta vs gruppo | Delta vs se stessa;Manca gruppo o media gruppo calcolabile.;Non giudicare animale senza considerare DIM/parità quando disponibili.;Supportato se produzione e baseline presenti;;;canonical
SEL_PROD_002_V0;SEL_PROD_002;PRODUZIONE;2;2;31;functional;FUNCTIONAL_PRODUZIONE;;SEL_PROD_002;0;canonical;manual_selected;False;False;;PROD_005;exact;quale gruppo è calato nella produzione?;group_production_drop;group;;gruppo, n animali, produzione gruppo corrente, produzione baseline gruppo utlimi 7 gg, delta produzione gruppo;"Confronto produzione per gruppo:
{tabella}
Se il calo è concentrato nel gruppo, verificare anche fattore ambientale/gestionale/alimentare.";Gruppo | Animali | Latte medio attuale | Baseline gruppo | Delta kg/capo | THI | Note;Mancano gruppi o baseline produttive di gruppo.;Non concludere razione/ambiente senza dati di supporto.;Supportato se produzione e baseline presenti;;;canonical
SEL_PROD_003_V0;SEL_PROD_003;PRODUZIONE;2;3;32;functional;FUNCTIONAL_PRODUZIONE;;SEL_PROD_003;0;canonical;manual_selected;False;False;;PROD_007;exact;perché animale 3118 ha calato?;production_drop_reason;animal;3118;DIM, gruppo, lattazione, delta produzione, allarmi attivi triage/probabilità patologia;"La {animal_id} è sotto il suo andamento recente di {production_delta_kg} kg.
{tabella}
Se conducibilità/SCC sono alterati, verifica latte e mammella; se ruminazione è bassa, controlla appetito/stato generale; se il gruppo cala con THI alto, valuta contesto ambientale.";Animale | Latte attuale | Baseline | Delta kg | Ruminazione | Conducibilità | SCC score | THI | Mungiture | Esito PECUS;Manca produzione/baseline o dati associati.;Non dare causa unica se segnali discordanti o assenti.;Supportato se produzione e baseline presenti;;;canonical
SEL_PROD_004_V0;SEL_PROD_004;PRODUZIONE;2;4;33;functional;FUNCTIONAL_PRODUZIONE;;SEL_PROD_004;0;canonical;manual_selected;False;False;;PROD_008;exact;quanti/quali animali mi costano di più?;economic_loss_list;herd;;ID, gruppo, DIM, produzione baseline, delta ultimi 7 gg, costo totale, produzione baseline  gruppo;"Animali con maggiore perdita economica stimata dai dati disponibili:
{tabella}
Mostra sempre se il prezzo latte è reale o default e il periodo della stima.";Animale | DIM | Gruppo | Calo kg/g | Prezzo latte usato | Perdita €/g | Base calcolo | Note;Manca prezzo latte, baseline o perdita calcolabile.;Non mostrare euro se il calcolo non è supportato.;Supportato se produzione e baseline presenti;;;canonical
SEL_PROD_005_V0;SEL_PROD_005;PRODUZIONE;2;5;34;functional;FUNCTIONAL_PRODUZIONE;;SEL_PROD_005;0;canonical;manual_selected;False;False;;PROD_010;exact;chi perde latte da più giorni?;persistent_milk_loss;herd;;ID, gruppo, dIM, produzione baseline, delta ultimi 7 gg, n giorni sotto baseline;"Animali con calo produttivo persistente:
{tabella}
Distinguere se il segnale è individuale o condiviso dal gruppo.";Animale | DIM | Gruppo | Giorni sotto baseline | Calo medio kg | Calo massimo | Segnali associati | Ultimo esito;Manca storico produzione sufficiente.;Non usare 'cronico' senza regola validata e storico clinico.;Supportato se produzione e baseline presenti;;;canonical
